scope,layer,matrix,rate,rank_total,rank_keep,rank_truncated,loss,relative_loss,loss_definition
matrix,5,up,0.7,1536,460,1076,2.7983014738033423,0.6291987056777224,spectral_norm_discarded_residual
matrix,5,up,0.8,1536,307,1229,2.9927304572268554,0.6729161056296431,spectral_norm_discarded_residual
matrix,5,up,0.85,1536,230,1306,3.1017892731085714,0.6974380045164902,spectral_norm_discarded_residual
matrix,5,up,0.9,1536,153,1383,3.2238454827200873,0.7248823702599404,spectral_norm_discarded_residual
matrix,6,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,6,down,0.1,1536,1382,154,1.5757602374295077,0.21663801996675916,spectral_norm_discarded_residual
matrix,6,down,0.2,1536,1228,308,1.8501077501759675,0.2543557517208942,spectral_norm_discarded_residual
matrix,6,down,0.3,1536,1075,461,2.065467182711948,0.2839637085264719,spectral_norm_discarded_residual
matrix,6,down,0.4,1536,921,615,2.2604365431557,0.3107684058385585,spectral_norm_discarded_residual
matrix,6,down,0.5,1536,768,768,2.4501286258951325,0.33684757463080933,spectral_norm_discarded_residual
matrix,6,down,0.6,1536,614,922,2.6424007477214158,0.3632814512941789,spectral_norm_discarded_residual
matrix,6,down,0.7,1536,460,1076,2.843005691243362,0.3908609375179402,spectral_norm_discarded_residual
matrix,6,down,0.8,1536,307,1229,3.075274370624566,0.4227936044340192,spectral_norm_discarded_residual
matrix,6,down,0.85,1536,230,1306,3.2116099550143673,0.44153723709567205,spectral_norm_discarded_residual
matrix,6,down,0.9,1536,153,1383,3.402917670089156,0.467838525587235,spectral_norm_discarded_residual
matrix,6,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,6,gate,0.1,1536,1382,154,1.7669355027187177,0.1416790586643624,spectral_norm_discarded_residual
matrix,6,gate,0.2,1536,1228,308,2.008401434762397,0.16104064028339868,spectral_norm_discarded_residual
matrix,6,gate,0.3,1536,1075,461,2.2200218035531623,0.1780091004215013,spectral_norm_discarded_residual
matrix,6,gate,0.4,1536,921,615,2.4229923525877854,0.1942839878067892,spectral_norm_discarded_residual
matrix,6,gate,0.5,1536,768,768,2.627602521013448,0.21069034560032512,spectral_norm_discarded_residual
matrix,6,gate,0.6,1536,614,922,2.8408512550233267,0.22778937374787164,spectral_norm_discarded_residual
matrix,6,gate,0.7,1536,460,1076,3.0750019220698905,0.246564391874875,spectral_norm_discarded_residual
matrix,6,gate,0.8,1536,307,1229,3.344616691127068,0.2681830455400797,spectral_norm_discarded_residual
matrix,6,gate,0.85,1536,230,1306,3.5139368224297023,0.2817597249259273,spectral_norm_discarded_residual
matrix,6,gate,0.9,1536,153,1383,3.7468078512167375,0.30043213718884454,spectral_norm_discarded_residual
matrix,6,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,6,up,0.1,1536,1382,154,1.768245616390132,0.347673284550373,spectral_norm_discarded_residual
matrix,6,up,0.2,1536,1228,308,2.004569343832772,0.3941393669631241,spectral_norm_discarded_residual
matrix,6,up,0.3,1536,1075,461,2.2024008315246246,0.43303708709644406,spectral_norm_discarded_residual
matrix,6,up,0.4,1536,921,615,2.3882971518926914,0.4695881090184656,spectral_norm_discarded_residual
