scene,loads,policy,tok,speedup,status,group_a,group_b
6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.1,2.3955,1.2228926733643717,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",odd_0.15,26.7903,13.676335456995833,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.15,1.58285,0.8080382667646819,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.15,23.9271,12.214683901004655,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",odd_0.2,12.5823,6.423211222739525,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.2,1.71384,0.8749081107571673,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.2,1.67756,0.8563873233684555,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",odd_0.25,2.48716,1.2696847177979254,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.25,12.1597,6.207475700400229,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.25,16.5175,8.43211426937842,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",baseline,24.556,1.0,ok,,
6occ_B,"20,50,80,90,100,100,0,0",odd_0.05,2.43001,0.09895789216484768,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod3_1_0.05,0.35498,0.014455937449095945,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod4_1_0.05,27.184,1.1070206874083728,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",odd_0.1,4.02532,0.1639240918716403,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod3_1_0.1,26.8511,1.0934639192050821,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod4_1_0.1,24.9204,1.014839550415377,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",odd_0.15,25.2804,1.0294999185535103,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod3_1_0.15,14.4747,0.5894567519139925,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod4_1_0.15,4.26018,0.17348835315197914,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",odd_0.2,23.6792,0.9642938589346799,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod3_1_0.2,25.1807,1.025439811044144,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod4_1_0.2,1.72059,0.070068007818863,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",odd_0.25,25.8124,1.051164684802085,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod3_1_0.25,27.1355,1.1050456100342074,ok,"66,67,60,61,62,63","64,65"
6occ_B,"20,50,80,90,100,100,0,0",mod4_1_0.25,0.953962,0.03884842808274963,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",baseline,2.09711,1.0,ok,,
6occ_C,"55,65,85,95,100,100,0,0",odd_0.05,2.70577,1.2902375173452991,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.05,4.06191,1.9369084120527775,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.05,1.10662,0.5276881041051733,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",odd_0.1,0.381081,0.18171722036516924,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.1,2.39006,1.1396922431345997,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.1,26.7802,12.770050211958363,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",odd_0.15,25.2402,12.035706281501687,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.15,25.5571,12.18681900329501,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.15,1.12006,0.5340969238618862,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",odd_0.2,1.87581,0.8944738234999595,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.2,26.9641,12.857742321575884,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.2,25.2955,12.062075904458995,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",odd_0.25,0.523147,0.2494609247965057,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.25,23.741,11.320817696735032,ok,"66,67,60,61,62,63","64,65"
6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.25,25.3723,12.098697731640211,ok,"66,67,60,61,62,63","64,65"
8occ_A,"20,30,40,50,90,90,100,100",baseline,3.71343,1.0,ok,,
8occ_A,"20,30,40,50,90,90,100,100",odd_0.05,24.9906,6.729788901366123,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.05,25.9102,6.977430569581223,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.05,26.6712,7.182362398106333,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",odd_0.1,26.2163,7.059861098768525,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.1,25.3305,6.821321527536537,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.1,24.7502,6.6650509098057595,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",odd_0.15,24.5437,6.609441944509524,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.15,24.6614,6.641137708264328,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.15,24.8325,6.687213708081209,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",odd_0.2,26.4978,7.135667024826105,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.2,25.9335,6.983705092057747,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.2,24.2503,6.530431434011144,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",odd_0.25,24.2661,6.534686260411534,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.25,24.1579,6.505548778353168,ok,"60,61,62,63,64,65","66,67"
8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.25,24.2575,6.532370342244233,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",baseline,25.3529,1.0,ok,,
8occ_B,"20,30,40,60,80,90,100,100",odd_0.05,24.9446,0.9838953334726993,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod3_1_0.05,23.977,0.9457300742715823,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod4_1_0.05,25.5523,1.0078649779709619,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",odd_0.1,24.3023,0.9585609535792748,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod3_1_0.1,25.5531,1.0078965325465725,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod4_1_0.1,24.2144,0.9550938945840515,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",odd_0.15,25.7418,1.0153394680687415,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod3_1_0.15,26.304,1.0375144460791466,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod4_1_0.15,25.619,1.0104958407125022,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",odd_0.2,24.7465,0.9760816316871048,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod3_1_0.2,25.6628,1.012223453727187,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod4_1_0.2,23.701,0.9348437456858978,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",odd_0.25,24.5837,0.9696602755503315,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod3_1_0.25,24.1014,0.950636810779043,ok,"60,61,62,63,64,65","66,67"
8occ_B,"20,30,40,60,80,90,100,100",mod4_1_0.25,25.2233,0.9948881587510697,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",baseline,25.5283,1.0,ok,,
8occ_C,"20,20,40,40,90,90,100,100",odd_0.05,26.8621,1.052247897431478,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod3_1_0.05,21.6605,0.8484897153355295,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod4_1_0.05,24.3531,0.9539648155184638,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",odd_0.1,23.919,0.936960157942362,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod3_1_0.1,27.714,1.0856187055150557,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod4_1_0.1,25.556,1.0010850702945358,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",odd_0.15,27.0769,1.0606620887407308,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod3_1_0.15,26.4207,1.0349572827019424,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod4_1_0.15,25.5551,1.0010498153030165,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",odd_0.2,24.7679,0.9702134493875424,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod3_1_0.2,25.1729,0.9860781955711895,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod4_1_0.2,25.7013,1.0067767928142493,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",odd_0.25,23.1993,0.908767916390829,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod3_1_0.25,24.8733,0.9743422006165706,ok,"60,61,62,63,64,65","66,67"
8occ_C,"20,20,40,40,90,90,100,100",mod4_1_0.25,26.3898,1.0337468613264496,ok,"60,61,62,63,64,65","66,67"
