config_id,occupied_count,loads,timeout_ms,rate_policy,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_ppl,schedule_ppl,ppl_delta_vs_baseline,selected_policy,constraints_ok,ppl_le_40,throughput_ge_baseline,group_a,group_b,tokens,ppl_source,raw_status,baseline_status
2occ_cfg4,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.25,26.4654,27.6515,27.651500,1.044817,15.1424,17.665614,2.523214,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",10,odd_0.25,27.7406,17.1613,27.740600,1.000000,15.1424,37.517400,22.375000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",20,odd_0.25,27.7406,25.4228,27.740600,1.000000,15.1424,35.467400,20.325000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",30,odd_0.25,27.7406,25.743,27.740600,1.000000,15.1424,33.417400,18.275000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",40,odd_0.25,27.7406,3.42281,27.740600,1.000000,15.1424,31.367400,16.225000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",50,odd_0.25,27.7406,26.0229,27.740600,1.000000,15.1424,29.317400,14.175000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",60,odd_0.25,27.7406,26.8931,27.740600,1.000000,15.1424,27.267400,12.125000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",70,odd_0.25,27.7406,27.4004,27.740600,1.000000,15.1424,25.217400,10.075000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",80,odd_0.25,27.7406,29.1269,29.126900,1.049974,15.1424,23.167400,8.025000,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",90,odd_0.25,27.7406,26.977,27.740600,1.000000,15.1424,21.117400,5.975000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",100,odd_0.25,27.7406,27.7434,27.743400,1.000101,15.1424,19.067400,3.925000,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",10,mod3_1_0.1,1.93282,28.0187,28.018700,14.496280,15.1424,20.683829,5.541429,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.1,1.93282,3.77005,3.770050,1.950544,15.1424,20.164400,5.022000,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.1,1.93282,26.184,26.184000,13.547045,15.1424,19.644971,4.502571,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.1,1.93282,25.2948,25.294800,13.086992,15.1424,19.125543,3.983143,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.1,1.93282,27.2898,27.289800,14.119163,15.1424,18.606114,3.463714,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.1,1.93282,26.1317,26.131700,13.519986,15.1424,18.086686,2.944286,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.1,1.93282,27.6317,27.631700,14.296054,15.1424,17.567257,2.424857,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.1,1.93282,27.5429,27.542900,14.250111,15.1424,17.047829,1.905429,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.1,1.93282,27.9812,27.981200,14.476878,15.1424,16.528400,1.386000,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
