source_type,source,scenario,occupied_count,loads,baseline_tok_s,schedule_tok_s,speedup,ppl,policy,detail,credible_baseline,not_too_low_baseline,target2x_score,paper_score
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg5,8,"20,30,40,50,90,90,100,100",25.3999,28.4553,1.120292,19.644971,svd_timeout,timeout=30ms;rate=mod3_1_0.1,True,True,0.8797079999999999,0.8797079999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg6,8,"20,30,40,50,90,90,100,100",25.0238,27.8599,1.113336,18.6449,svd_timeout,timeout=60ms;rate=mod4_1_0.15,True,True,0.8866639999999999,0.8866639999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg4,8,"20,30,40,50,90,90,100,100",25.8475,28.1825,1.090338,17.0284,svd_timeout,timeout=70ms;rate=mod4_1_0.1,True,True,0.909662,0.909662
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_adv_01,8,"20,20,30,30,90,90,100,100",26.9846,28.4829,1.0555242619864664,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.9444757380135336,0.9444757380135336
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_adv_02,8,"20,30,40,50,90,100,100,100",29.9477,30.1834,1.0078703873753243,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.9921296126246757,0.9921296126246757
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_mw_05,8,"20,20,40,40,90,90,100,100",33.4586,35.9256,1.0737329117177647,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.9262670882822353,1.4262670882822353
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_mw_06,8,"20,30,40,50,90,90,100,100",32.672,34.641,1.0602656709108718,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.9397343290891282,1.4397343290891282
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_adv_03,8,"30,40,50,60,90,90,100,100",31.0463,31.8819,1.026914640391931,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.9730853596080691,1.473085359608069
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_mw_08,8,"20,30,40,60,80,90,100,100",6.70428,33.1738,4.948152523462624,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",False,False,2.948152523462624,12.948152523462625
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_mw_07,8,"20,30,40,50,90,90,100,100",0.793781,32.7985,41.31933115053144,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",False,False,39.31933115053144,49.31933115053144
